Watershed (HUC 8),Site #,LND,LND_ab,SRD,SRD_ab,Sculpins,Sculpins_ab,Top Carnivore,Effort (sec),eff(min),TC_FPerMin,temp,ph,do,BRTcpue(fish/min),avwid,sdwid,avdep,sdDep,maxdep,W/D ,pctclay,pctsilt,pctsand,pctfines,pctgrvl,pctcbbl,pctbldr,pctrock,subprop,mFlow,sdFlow,maxflow,pctRiffle,pctrun,pctslow,machabprop,AVembed,pctEmb1,LWD,FWD,under,boulder,depool,bnkahz%,bnkamd%,bnkavr%,Avbnka,bnkbare%,AvChnlOpen%,chshdSD%,AvChnlShd%
Yellow River,129,0,0,1,1,0,0,0,1191,19.850,0.000,16.9,7.59,10.25,0,1.225,0.416,0.386,0.114,0.6,3.177,0,4,4,8,4,88,0,92,88,0.382,0.213,0.96,8.333,0.833,8.333,83.333,0.75,16.667,0.042,0.208,1.75,0,0.417,0,37.5,62.5,55.625,0.042,84.009,11.54,15.991
Yellow River,150,0,0,0,0,0,0,0,668,11.133,0.000,17.1,7.47,10.4,0,1.821,1.079,0.155,0.088,0.44,11.762,0,12,8,20,16,64,0,80,64,0.184,0.135,0.45,41.667,0.417,16.667,41.667,1.583,58.333,0,0.042,0.083,1.083,0.5,58.333,33.333,8.333,21.667,0.583,62.934,16.968,37.066
Yellow River,161,1,1,1,3,0,0,8,2852,47.533,0.168,16,8.22,11.12,0.168,3.25,1.162,0.252,0.143,0.69,12.889,0,10.811,0,10.811,16.216,72.973,0,89.189,72.973,0.229,0.17,0.6,25,0.458,29.167,45.833,0.75,16.667,0,0.458,0.333,0.333,0.583,16.667,79.167,4.167,27.917,0.917,93.018,8.984,6.982
Yellow River,178,1,27,0,0,1,7,167,5255,87.583,1.907,19.6,8.47,13.28,1.895,4.629,1.589,0.304,0.14,0.74,15.233,0,2.778,22.222,25,8.333,66.667,0,75,66.667,0.245,0.167,0.56,20.833,0.5,29.167,50,1,41.667,0.458,0.958,0.545,0.083,1.417,29.167,54.167,16.667,31.875,0.5,55.201,12.674,44.799
Yellow River,193,0,0,0,0,0,0,190,4136,68.933,2.756,16.7,8.31,12.28,2.713,7.5,2.958,0.375,0.282,1.1,19.994,2.222,6.667,8.889,17.778,0,82.222,0,82.222,82.222,0.316,0.266,1.16,41.667,0.292,29.167,41.667,0.5,16.667,0.083,0.333,0.167,0.25,1.333,45.833,16.667,33.333,33.043,0.792,59.535,16.186,40.465
Yellow River,201,0,0,0,0,1,5,101,2884,48.067,2.101,16,8.6,12.35,2.101,2.913,1.256,0.329,0.235,1.4,8.839,0,31.579,2.632,34.211,5.263,60.526,0,65.789,60.526,0.223,0.255,1.03,20.833,0.417,37.5,41.667,0.917,33.333,0.125,0.333,0.583,0.417,1.25,0,70.833,29.167,44.583,0.625,89.269,9.587,10.731
Yellow River,202,0,0,1,4,0,0,0,1376,22.933,0.000,15.3,8.05,11.21,0,1.417,0.613,0.28,0.14,0.5,5.052,0,45.833,0,45.833,20.833,33.333,0,54.167,45.833,0.057,0.055,0.2,12.5,0.167,70.833,66.667,0.417,16.667,0,0.042,1.167,0,2.667,0,54.167,45.833,47.292,0.583,88.514,10.872,11.486
Yellow River,203,0,0,0,0,0,0,37,3725,62.083,0.596,11.5,7.53,10.94,0.596,6.433,1.683,0.414,0.203,1,15.557,8.511,0,4.255,12.766,10.638,76.596,0,87.234,76.596,0.349,0.212,0.87,45.833,0.5,4.167,50,1.5,50,0.625,1,0.917,0.25,0.667,8.333,75,16.667,40.625,1.458,60.811,14.532,39.189
Yellow River,204,0,0,0,0,0,0,158,5325,88.750,1.780,12.5,8.09,9.79,1.758,4.546,1.551,0.419,0.269,0.92,10.845,0,25,0,25,0,75,0,75,75,0.205,0.225,0.89,20.833,0.25,54.167,50,0.583,25,0.125,1,1,0.083,2.833,4.167,54.167,41.667,48.75,0.917,34.384,14.29,65.616
Little Maquoketa,5,0,0,1,18,0,0,2,1959,32.650,0.061,16.9,8.46,12.22,0.061,2.883,0.961,0.146,0.079,0.36,19.734,5.556,13.889,0,19.444,2.778,77.778,0,80.556,77.778,0.15,0.176,0.69,20.833,0.208,58.333,33.333,1,16.667,0.625,1.083,0.083,1.167,0.583,4.167,91.667,4.167,32.5,1.25,9.985,6.964,90.015
Little Maquoketa,8,0,0,0,0,0,0,0,1256,20.933,0.000,16.3,8.32,13.7,0,2.892,0.772,0.151,0.095,0.4,19.207,0,9.375,3.125,12.5,28.125,59.375,0,87.5,59.375,0.173,0.139,0.62,66.667,0.167,16.667,66.667,0.833,16.667,0.25,0.625,0.25,1.333,0.583,16.667,66.667,16.667,33.958,1.125,16.817,6.384,83.183
Little Maquoketa,10,0,0,0,0,0,0,0,911,15.183,0.000,12.2,7.73,12.74,0,2.9,1.099,0.132,0.055,0.24,22.016,0,11.111,11.111,22.222,7.407,70.37,0,77.778,70.37,0.19,0.215,0.39,50,0.292,20.833,50,1,8.333,0.125,0.917,0.417,1.917,0.417,54.167,41.667,4.167,20.583,1.333,3.153,2.151,96.847
Little Maquoketa,17,1,2,1,2,1,277,3,2487,41.450,0.072,13.9,8.32,11.65,0.072,4.8,1.831,0.237,0.154,0.72,20.233,0,9.524,7.143,16.667,0,80.952,2.381,83.333,80.952,0.176,0.152,0.57,41.667,0.208,37.5,41.667,1,25,0.667,1.042,0.5,1.25,1.417,25,58.333,16.667,32.083,0.417,18.919,6.234,81.081
Little Maquoketa,28b,0,0,1,1,0,0,0,1020,17.000,0.000,16,8.07,11.17,0,1.908,0.527,0.239,0.079,0.38,7.971,2.941,50,8.824,61.765,14.706,23.529,0,38.235,50,0.086,0.113,0.58,8.333,0.417,50,41.667,0.167,8.333,0.083,0.083,1.833,0,2.167,0,66.667,33.333,47.083,0.417,43.694,10.294,56.306
Little Maquoketa,24,0,0,0,0,0,0,100,1876,31.267,3.198,14.9,7.69,10.23,0.896,3.479,0.893,0.245,0.149,0.6,14.214,2.5,5,0,7.5,5,85,2.5,92.5,85,0.146,0.146,0.69,29.167,0.333,37.5,33.333,1.25,41.667,0.167,0.958,1.083,0.5,1.583,8.333,62.5,29.167,37.708,0.833,7.883,8.019,92.117
Little Maquoketa,61,1,20,0,0,0,0,20,4883,81.383,0.246,22.2,8.6,12.61,0.012,5.638,3.039,0.296,0.187,1.08,19.026,2.174,8.696,8.696,19.565,0,73.913,6.522,80.435,73.913,0.181,0.189,0.78,25,0.417,33.333,41.667,2.333,66.667,0.125,0.625,0.333,1.833,0.833,33.333,58.333,8.333,29.167,0.625,33.108,15.225,66.892
